CO2,Temperature,Humidity,Sun1,Sun2,Sun3,Sun4,Sun5,Sun6,date
473.0,25.2,45.1,77.3,86.7,115.6,103.0,110.1,98.3,2025-04-26 16:53:56
465.0,25.3,42.1,77.5,84.1,120.1,101.0,109.3,97.7,2025-04-26 16:58:56
499.0,25.1,40.5,77.2,84.4,119.9,100.8,109.2,97.9,2025-04-26 17:03:56
536.0,24.9,40.7,78.3,82.9,119.7,102.2,110.0,97.5,2025-04-26 17:08:56
530.0,24.8,40.4,79.3,84.5,115.4,105.6,111.2,97.8,2025-04-26 17:13:56
506.0,24.9,40.2,76.5,85.6,118.6,100.8,109.3,98.1,2025-04-26 17:18:56
481.0,24.8,40.7,79.1,82.8,118.9,103.5,110.4,97.5,2025-04-26 17:23:56
458.0,24.7,41.2,76.8,85.3,119.3,100.7,109.2,98.2,2025-04-26 17:28:56
478.0,24.7,41.0,77.3,86.7,115.6,103.1,110.1,98.2,2025-04-26 17:33:56
520.0,24.6,41.4,77.1,84.7,119.8,100.7,109.1,98.0,2025-04-26 17:38:56
537.0,25.0,47.9,78.1,83.4,120.1,101.6,109.6,97.5,2025-04-26 17:43:56
517.0,25.3,43.5,79.6,83.5,117.3,104.9,111.0,97.5,2025-04-26 17:48:56
492.0,25.0,40.4,78.7,85.6,114.5,105.1,111.2,98.0,2025-04-26 17:53:56
465.0,24.9,41.4,77.0,84.6,119.8,100.7,109.3,98.0,2025-04-26 17:58:56
445.0,24.1,45.5,0.0,0.0,3999.9,0.0,0.0,0.0,2025-04-26 18:03:56
431.0,23.3,47.6,0.0,0.0,3999.9,0.0,0.0,0.0,2025-04-26 18:08:56
425.0,22.5,50.3,0.0,3999.9,0.0,0.0,0.0,0.0,2025-04-26 18:13:56
419.0,21.8,51.5,3999.9,0.0,0.0,0.0,3999.9,0.0,2025-04-26 18:18:56
412.0,21.3,54.9,3999.9,0.0,0.0,0.0,0.0,0.0,2025-04-26 18:23:56
410.0,21.1,58.8,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-26 18:28:56
402.0,20.7,59.2,0.0,3999.9,0.0,0.0,0.0,0.0,2025-04-26 18:33:56
402.0,20.2,60.5,3999.9,0.0,0.0,0.0,0.0,0.0,2025-04-26 18:38:56
400.0,20.3,68.2,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-26 18:43:56
398.0,20.4,64.3,0.0,0.0,3999.9,0.0,0.0,0.0,2025-04-26 18:48:56
398.0,20.0,56.1,0.0,0.0,3999.9,0.0,0.0,0.0,2025-04-26 18:53:56
394.0,19.6,63.0,3999.9,0.0,0.0,0.0,3999.9,0.0,2025-04-26 18:58:56
396.0,19.6,69.4,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-26 19:03:56
399.0,19.6,63.1,0.0,0.0,3999.8,0.0,0.0,0.0,2025-04-26 19:08:56
400.0,19.2,60.3,0.0,3999.9,0.0,0.0,0.0,0.0,2025-04-26 19:13:56
400.0,19.1,74.0,0.0,3999.8,3999.9,0.0,0.0,0.0,2025-04-26 19:18:56
