CO2,Temperature,Humidity,Sun1,date
473,25.2,45.1,77.3,4/26/2025 16:53
465,25.3,42.1,77.5,4/26/2025 16:58
499,25.1,40.5,77.2,4/26/2025 17:03
536,24.9,40.7,78.3,4/26/2025 17:08
530,24.8,40.4,79.3,4/26/2025 17:13
506,24.9,40.2,76.5,4/26/2025 17:18
481,24.8,40.7,79.1,4/26/2025 17:23
458,24.7,41.2,76.8,4/26/2025 17:28
478,24.7,41,77.3,4/26/2025 17:33
520,24.6,41.4,77.1,4/26/2025 17:38
537,25,47.9,78.1,4/26/2025 17:43
517,25.3,43.5,79.6,4/26/2025 17:48
492,25,40.4,78.7,4/26/2025 17:53
465,24.9,41.4,77,4/26/2025 17:58
445,24.1,45.5,0,4/26/2025 18:03
431,23.3,47.6,0,4/26/2025 18:08
425,22.5,50.3,0,4/26/2025 18:13
419,21.8,51.5,3999.9,4/26/2025 18:18
412,21.3,54.9,3999.9,4/26/2025 18:23
410,21.1,58.8,0,4/26/2025 18:28
402,20.7,59.2,0,4/26/2025 18:33
402,20.2,60.5,3999.9,4/26/2025 18:38
400,20.3,68.2,0,4/26/2025 18:43
398,20.4,64.3,0,4/26/2025 18:48
398,20,56.1,0,4/26/2025 18:53
394,19.6,63,3999.9,4/26/2025 18:58
396,19.6,69.4,0,4/26/2025 19:03
399,19.6,63.1,0,4/26/2025 19:08
400,19.2,60.3,0,4/26/2025 19:13
400,19.1,74,0,4/26/2025 19:18
402,19.2,76.1,3999.9,4/26/2025 19:23
404,19.2,69.8,0,4/26/2025 19:28
403,18.8,67.3,0,4/26/2025 19:33
407,18.9,75.6,0,4/26/2025 19:38
409,19,77.2,3999.9,4/26/2025 19:43
413,19,74.2,3999.9,4/26/2025 19:48
414,18.6,64.4,0,4/26/2025 19:53
414,18.5,72,0,4/26/2025 19:58
412,18.6,75.4,3999.9,4/26/2025 20:03
412,18.7,77.1,0,4/26/2025 20:08
415,18.8,77.7,3999.9,4/26/2025 20:13
420,18.9,76.5,0,4/26/2025 20:18
421,18.5,64.5,0,4/26/2025 20:23
419,18.3,74.4,0,4/26/2025 20:28
422,18.4,76.8,0,4/26/2025 20:33
426,18.5,77.6,3999.8,4/26/2025 20:38
425,18.5,77.8,0,4/26/2025 20:43
424,18.6,78,0,4/26/2025 20:48
425,18.7,78,0,4/26/2025 20:53
428,18.8,78.2,3999.9,4/26/2025 20:58
436,18.8,78.1,0,4/26/2025 21:03
437,18.9,78,3999.9,4/26/2025 21:08
437,18.9,77.1,0,4/26/2025 21:13
436,18.5,66.4,0,4/26/2025 21:18
435,18.1,70.9,0,4/26/2025 21:23
432,18,76.1,0,4/26/2025 21:28
433,18.1,77.7,3999.9,4/26/2025 21:33
438,18.1,78,0,4/26/2025 21:38
438,18.2,77.6,0,4/26/2025 21:43
439,18.2,77.3,0,4/26/2025 21:48
435,18.3,76.6,0,4/26/2025 21:53
440,18.3,75.8,0,4/26/2025 21:58
440,18.4,74.4,0,4/26/2025 22:03
441,18.4,72.1,0,4/26/2025 22:08
442,18.5,69.8,3999.9,4/26/2025 22:13
446,18.5,67.4,0,4/26/2025 22:18
449,18.6,65.5,0,4/26/2025 22:23
445,18.6,63.7,0,4/26/2025 22:28
443,18.6,70,0,4/26/2025 22:33
443,18.6,71.1,3999.9,4/26/2025 22:38
450,18.6,68.4,3999.9,4/26/2025 22:43
449,18.6,66.2,0,4/26/2025 22:48
447,18.6,64.5,0,4/26/2025 22:53
449,18.6,65.8,0,4/26/2025 22:58
451,18.5,71.2,0,4/26/2025 23:03
452,18.5,68.7,0,4/26/2025 23:08
456,18.6,66.5,0,4/26/2025 23:13
457,18.5,64.9,0,4/26/2025 23:18
457,18.4,69.7,0,4/26/2025 23:23
459,18.2,71.7,3999.9,4/26/2025 23:28
460,18.1,73.2,0,4/26/2025 23:33
458,18,74.4,3999.9,4/26/2025 23:38
460,17.9,75.5,0,4/26/2025 23:43
459,17.8,76.4,3999.9,4/26/2025 23:48
463,17.7,77.2,3999.9,4/26/2025 23:53
465,17.6,77.9,0,4/26/2025 23:58
466,17.6,78.6,0,4/27/2025 0:03
467,17.5,79.5,3999.9,4/27/2025 0:08
467,17.4,80,0,4/27/2025 0:13
466,17.3,80.5,0,4/27/2025 0:18
466,17.2,80.9,0,4/27/2025 0:23
471,17.2,81.4,0,4/27/2025 0:28
474,17.1,81.7,0,4/27/2025 0:33
476,17.1,82.2,0,4/27/2025 0:38
471,17,82.4,3999.9,4/27/2025 0:43
474,16.9,82.9,0,4/27/2025 0:48
475,16.9,83.2,3999.9,4/27/2025 0:53
479,16.8,83.3,0,4/27/2025 0:58
481,16.7,83.8,0,4/27/2025 1:03
479,16.7,83.9,3999.9,4/27/2025 1:08
481,16.6,84.2,3999.9,4/27/2025 1:13
482,16.5,84.6,0,4/27/2025 1:18
479,16.5,84.7,3999.9,4/27/2025 1:23
477,16.5,85,3999.9,4/27/2025 1:28
480,16.4,84.9,3999.9,4/27/2025 1:33
483,16.3,85.4,0,4/27/2025 1:38
477,16.3,85.4,3999.8,4/27/2025 1:43
477,16.2,85.6,0,4/27/2025 1:48
477,16.2,85.7,0,4/27/2025 1:53
478,16.1,86,0,4/27/2025 1:58
479,16.1,86.2,0,4/27/2025 2:03
479,16,86.2,3999.9,4/27/2025 2:08
478,16,86.5,0,4/27/2025 2:13
479,15.9,86.6,0,4/27/2025 2:18
479,15.9,86.6,3999.8,4/27/2025 2:24
480,15.8,86.8,0,4/27/2025 2:29
482,15.8,86.8,0,4/27/2025 2:34
481,15.7,86.9,0,4/27/2025 2:39
479,15.7,87.2,3999.9,4/27/2025 2:44
479,15.7,87.3,0,4/27/2025 2:49
479,15.6,87.3,0,4/27/2025 2:54
477,15.6,87.5,3999.8,4/27/2025 2:59
475,15.5,87.5,0,4/27/2025 3:04
480,15.5,87.6,3999.8,4/27/2025 3:09
479,15.4,87.6,3999.8,4/27/2025 3:14
478,15.4,87.8,0,4/27/2025 3:19
480,15.3,88,0,4/27/2025 3:24
481,15.3,88,0,4/27/2025 3:29
480,15.2,87.9,3999.8,4/27/2025 3:34
476,15.2,88,0,4/27/2025 3:39
475,15.2,88.1,0,4/27/2025 3:44
481,15.1,88.2,0,4/27/2025 3:49
482,15.1,88.2,3999.9,4/27/2025 3:54
485,15,88.4,0,4/27/2025 3:59
483,15,88.4,3999.8,4/27/2025 4:04
474,14.9,88.5,3999.9,4/27/2025 4:09
481,14.9,88.5,0,4/27/2025 4:14
482,14.8,88.7,3999.8,4/27/2025 4:19
483,14.9,88.7,3999.9,4/27/2025 4:24
481,14.8,88.8,0,4/27/2025 4:29
479,14.8,88.8,0,4/27/2025 4:34
483,14.7,88.8,0,4/27/2025 4:39
481,14.7,88.9,3999.8,4/27/2025 4:44
483,14.6,89.1,3999.8,4/27/2025 4:49
482,14.6,89.1,0,4/27/2025 4:54
481,14.5,89.2,0,4/27/2025 4:59
478,14.5,89.2,3999.9,4/27/2025 5:04
475,14.5,89.2,0,4/27/2025 5:09
479,14.4,89.1,3999.9,4/27/2025 5:14
484,14.4,89.3,3999.8,4/27/2025 5:19
485,14.4,89.4,0,4/27/2025 5:24
484,14.3,89.5,0,4/27/2025 5:29
480,14.3,89.4,3999.8,4/27/2025 5:34
484,14.2,89.4,0,4/27/2025 5:39
483,14.2,89.4,0,4/27/2025 5:44
483,14.2,88.6,0,4/27/2025 5:49
483,14.2,88.6,0,4/27/2025 5:54
469,14,85,0,4/27/2025 5:59
467,13.9,83.6,0,4/27/2025 6:04
463,13.8,82,0,4/27/2025 6:09
452,13.6,81.1,0,4/27/2025 6:14
451,13.6,80.3,3999.9,4/27/2025 6:19
449,13.5,80,3999.9,4/27/2025 6:24
447,13.4,79.2,0,4/27/2025 6:29
448,13.3,79,0,4/27/2025 6:34
445,13.3,78.8,0,4/27/2025 6:39
441,13.2,78.7,3999.9,4/27/2025 6:44
440,13.1,78.6,0,4/27/2025 6:49
442,13.1,78.7,3999.9,4/27/2025 6:54
438,13,78.6,3999.9,4/27/2025 6:59
444,13.3,77.7,82.7,4/27/2025 7:04
485,13.8,76.4,81.3,4/27/2025 7:09
542,14.6,74.4,83.4,4/27/2025 7:14
593,15.3,72.2,82.5,4/27/2025 7:19
627,16.1,69.8,82.5,4/27/2025 7:24
648,16.9,67.8,81.9,4/27/2025 7:29
647,17.6,65.9,80.9,4/27/2025 7:34
619,18.4,63.7,79,4/27/2025 7:39
581,19.2,61.1,79.1,4/27/2025 7:44
562,19.8,55.7,78.7,4/27/2025 7:49
576,20,59.2,80.5,4/27/2025 7:54
591,20.7,57,80.3,4/27/2025 7:59
612,20.8,51.6,80.6,4/27/2025 8:04
626,20.5,56.5,80.5,4/27/2025 8:09
629,21.3,55.7,78.7,4/27/2025 8:14
602,21.4,49.7,80.1,4/27/2025 8:19
558,21.6,54.7,78.7,4/27/2025 8:24
540,22.1,50.9,80.3,4/27/2025 8:29
562,22,47.5,79.8,4/27/2025 8:34
588,22.2,53.1,80.3,4/27/2025 8:39
610,22.4,47.6,80.2,4/27/2025 8:44
622,22.4,51.6,79.8,4/27/2025 8:49
603,22.6,47,79.8,4/27/2025 8:54
574,22.7,49.8,77.6,4/27/2025 8:59
552,23,47.4,79.2,4/27/2025 9:04
574,22.5,48.4,79.2,4/27/2025 9:09
613,23,57.3,77.6,4/27/2025 9:14
650,23.7,56.9,77,4/27/2025 9:19
668,24.1,44.9,77.3,4/27/2025 9:24
660,23.3,48.9,79.3,4/27/2025 9:29
642,23.6,57.7,79.9,4/27/2025 9:34
603,24,45.5,79.5,4/27/2025 9:39
573,23.3,50.5,78.4,4/27/2025 9:44
584,23.9,58.7,78.1,4/27/2025 9:49
619,24.7,58.3,79.8,4/27/2025 9:54
657,24.1,44,78.4,4/27/2025 9:59
651,23.6,54.7,78,4/27/2025 10:04
610,24.5,62,77.3,4/27/2025 10:09
582,24.4,47.9,77.5,4/27/2025 10:14
615,23.9,54.3,76.7,4/27/2025 10:19
652,24.7,60.9,76.9,4/27/2025 10:24
633,25,48,76.5,4/27/2025 10:29
595,24,47.8,77.2,4/27/2025 10:34
583,24.4,60.3,79.5,4/27/2025 10:39
607,25.6,61.2,79.4,4/27/2025 10:44
656,25.7,48.9,76.9,4/27/2025 10:49
659,24.9,47.2,78.8,4/27/2025 10:54
619,24.6,53.6,76.5,4/27/2025 10:59
568,25.5,59.9,79.1,4/27/2025 11:04
578,25.9,50.4,76.7,4/27/2025 11:09
646,25.1,45.5,76.5,4/27/2025 11:14
670,25,60,78.1,4/27/2025 11:19
630,25.9,50.1,77.4,4/27/2025 11:24
582,25.3,45.3,78.6,4/27/2025 11:29
602,25,53.9,77.9,4/27/2025 11:34
637,26.1,58,79.5,4/27/2025 11:39
653,25.8,45.8,78.2,4/27/2025 11:44
617,25.3,49.5,78.6,4/27/2025 11:49
571,26.1,60.2,76.7,4/27/2025 11:54
582,26.1,47.6,76.4,4/27/2025 11:59
637,25.5,46.5,76.4,4/27/2025 12:04
666,26,57.9,78.7,4/27/2025 12:09
621,26.4,50.2,76.4,4/27/2025 12:14
581,25.8,46.5,76.3,4/27/2025 12:19
587,26.1,57.4,78,4/27/2025 12:24
620,26.5,48,79.2,4/27/2025 12:29
638,25.8,45.9,76.2,4/27/2025 12:34
604,25.4,49.5,78.4,4/27/2025 12:39
575,26.1,62.3,78.3,4/27/2025 12:44
592,26.1,48.4,77.1,4/27/2025 12:49
637,25.3,47.1,77,4/27/2025 12:54
629,25.8,59.8,76.7,4/27/2025 12:59
586,26.2,49.6,79.2,4/27/2025 13:04
568,25.6,46.1,78.6,4/27/2025 13:09
599,25.3,49.2,77.6,4/27/2025 13:14
639,25.5,51.1,78.5,4/27/2025 13:19
634,25.6,51.5,76.4,4/27/2025 13:24
595,25.4,50.7,79.1,4/27/2025 13:29
574,25,48.6,77.3,4/27/2025 13:34
602,24.7,48.5,76.5,4/27/2025 13:39
647,24.8,48.8,77.2,4/27/2025 13:44
634,24.8,49.9,78.7,4/27/2025 13:49
593,24.6,48.3,78.9,4/27/2025 13:54
577,24.5,48.9,76.7,4/27/2025 13:59
612,24.3,49.2,76.9,4/27/2025 14:04
642,24.2,49.9,78,4/27/2025 14:09
613,24.3,50.7,77.6,4/27/2025 14:14
577,24.2,51.6,76.7,4/27/2025 14:19
568,24.4,51.1,76.9,4/27/2025 14:24
602,24.6,49.7,77.6,4/27/2025 14:29
631,24.6,51,78.6,4/27/2025 14:34
605,24.8,51.9,79.4,4/27/2025 14:39
579,24.9,50.6,78.5,4/27/2025 14:44
589,25,51.1,78.8,4/27/2025 14:49
621,25,51.8,77.2,4/27/2025 14:54
638,24.9,49.5,78,4/27/2025 14:59
602,24.8,47.9,76.6,4/27/2025 15:04
562,24.8,48.5,79.2,4/27/2025 15:09
572,24.6,48.3,78.2,4/27/2025 15:14
608,24.6,50.2,79.1,4/27/2025 15:19
634,24.8,50.7,76.5,4/27/2025 15:24
608,25,51.4,79.3,4/27/2025 15:29
566,25.1,48.7,78,4/27/2025 15:34
563,25,47.7,76.4,4/27/2025 15:39
593,24.9,46.7,76.5,4/27/2025 15:44
626,24.8,49.7,76.5,4/27/2025 15:49
634,24.7,48.1,76.4,4/27/2025 15:54
597,24.7,48.8,78.4,4/27/2025 15:59
552,24.6,49.9,79.2,4/27/2025 16:04
509,24.6,47.6,76.7,4/27/2025 16:09
481,24.5,49.6,77,4/27/2025 16:14
461,24.6,49.7,79.2,4/27/2025 16:19
